week,type,value
2013 W10,Cleanbot2,23.79
2013 W11,Cleanbot2,21.87
2013 W12,Cleanbot2,21.99
2013 W13,Cleanbot2,18.88
2013 W14,Cleanbot2,25.93
2013 W15,Cleanbot2,23.98
2013 W16,Cleanbot2,24.85
2013 W17,Cleanbot2,21.85
2013 W18,Cleanbot2,25.67
2013 W19,Cleanbot2,24.02
2013 W20,Cleanbot2,27.57
2013 W21,Cleanbot2,27.1
2013 W22,Cleanbot2,26.94
2013 W23,Cleanbot2,21.66
2013 W24,Cleanbot2,24.71
2013 W25,Cleanbot2,28.97
2013 W26,Cleanbot2,22.67
2013 W27,Cleanbot2,23.66
2013 W28,Cleanbot2,24.19
2013 W29,Cleanbot2,22.39
2013 W30,Cleanbot2,24.84
2013 W31,Cleanbot2,22.24
2013 W32,Cleanbot2,20
2013 W33,Cleanbot2,23.05
2013 W34,Cleanbot2,23.59
2013 W35,Cleanbot2,23.8
2013 W36,Cleanbot2,26.04
2013 W37,Cleanbot2,24.75
2013 W38,Cleanbot2,24.34
2013 W39,Cleanbot2,21.85
2013 W40,Cleanbot2,22.03
2013 W41,Cleanbot2,22.06
2013 W42,Cleanbot2,23.69
2013 W43,Cleanbot2,24.02
2013 W44,Cleanbot2,23.37
2013 W45,Cleanbot2,20.19
2013 W46,Cleanbot2,23.92
2013 W47,Cleanbot2,26.41
2013 W48,Cleanbot2,23.67
2013 W49,Cleanbot2,19.8
2013 W50,Cleanbot2,23.41
2013 W51,Cleanbot2,20
2013 W52,Cleanbot2,22.03
2014 W01,Cleanbot2,22.97
2014 W02,Cleanbot2,24.75
2014 W03,Cleanbot2,19.46
2014 W04,Cleanbot2,22.9
2014 W05,Cleanbot2,25.83
2014 W06,Cleanbot2,26.63
2014 W07,Cleanbot2,19.19
2014 W08,Cleanbot2,21.52
2014 W09,Cleanbot2,21.34
2014 W10,Cleanbot2,18.01
2014 W11,Cleanbot2,19.09
2014 W12,Cleanbot2,18.47
2014 W13,Cleanbot2,19.6
2014 W14,Cleanbot2,20.29
2014 W15,Cleanbot2,19.72
2014 W16,Cleanbot2,16.31
2014 W17,Cleanbot2,14.35
2014 W18,Cleanbot2,18.31
2014 W19,Cleanbot2,16.43
2014 W20,Cleanbot2,16.41
2014 W21,Cleanbot2,16.51
2014 W22,Cleanbot2,14.51
2014 W23,Cleanbot2,17.71
2014 W24,Cleanbot2,20.08
2014 W25,Cleanbot2,19.5
2014 W26,Cleanbot2,20.47
2014 W27,Cleanbot2,19.96
2014 W28,Cleanbot2,18.89
2014 W29,Cleanbot2,19.13
2014 W30,Cleanbot2,16.47
2014 W31,Cleanbot2,20.99
2014 W32,Cleanbot2,23.37
2014 W33,Cleanbot2,18.4
2014 W34,Cleanbot2,19.59
2014 W35,Cleanbot2,19.27
2014 W36,Cleanbot2,16.37
2014 W37,Cleanbot2,20.38
2014 W38,Cleanbot2,22.02
2014 W39,Cleanbot2,23.71
2014 W40,Cleanbot2,20.8
2014 W41,Cleanbot2,24.7
2014 W42,Cleanbot2,19.6
2014 W43,Cleanbot2,22.4
2014 W44,Cleanbot2,19.83
2014 W45,Cleanbot2,18.23
2014 W46,Cleanbot2,17.83
2014 W47,Cleanbot2,19.4
2014 W48,Cleanbot2,16.77
2014 W49,Cleanbot2,17.17
2014 W50,Cleanbot2,19.58
2014 W51,Cleanbot2,21.85
2014 W52,Cleanbot2,18.78
2015 W01,Cleanbot2,16.58
2015 W02,Cleanbot2,20.74
2015 W03,Cleanbot2,19.08
2015 W04,Cleanbot2,19.78
2015 W05,Cleanbot2,21.81
2015 W06,Cleanbot2,19.96
2015 W07,Cleanbot2,19.43
2015 W08,Cleanbot2,20
2015 W09,Cleanbot2,20.04
2015 W10,Cleanbot2,18.27
2015 W11,Cleanbot2,16.8
2015 W12,Cleanbot2,15.02
2015 W13,Cleanbot2,16.6
2015 W14,Cleanbot2,11.32
2015 W15,Cleanbot2,16.08
2015 W16,Cleanbot2,14.42
2015 W17,Cleanbot2,14.64
2015 W18,Cleanbot2,16.89
2015 W19,Cleanbot2,16.19
2015 W20,Cleanbot2,14.87
2015 W21,Cleanbot2,20.51
2015 W22,Cleanbot2,15.81
2015 W23,Cleanbot2,14.95
2015 W24,Cleanbot2,11.85
2015 W25,Cleanbot2,12.48
2015 W26,Cleanbot2,13.04
2015 W27,Cleanbot2,11.7
2015 W28,Cleanbot2,17
2015 W29,Cleanbot2,20.72
2015 W30,Cleanbot2,19.04
2015 W31,Cleanbot2,18.97
2015 W32,Cleanbot2,17.19
2015 W33,Cleanbot2,18.32
2015 W34,Cleanbot2,18.9
2015 W35,Cleanbot2,15.75
2015 W36,Cleanbot2,18.77
2015 W37,Cleanbot2,17.81
2015 W38,Cleanbot2,18.76
2015 W39,Cleanbot2,18.11
2015 W40,Cleanbot2,16.53
2015 W41,Cleanbot2,20.29
2015 W42,Cleanbot2,21.02
2015 W43,Cleanbot2,19.26
2015 W44,Cleanbot2,17.78
2015 W45,Cleanbot2,18.89
2015 W46,Cleanbot2,17.46
2015 W47,Cleanbot2,15.58
2015 W48,Cleanbot2,17.19
2015 W49,Cleanbot2,15.35
2015 W50,Cleanbot2,17.5
2015 W51,Cleanbot2,12.05
2015 W52,Cleanbot2,14.19
2015 W53,Cleanbot2,19.42
2016 W01,Cleanbot2,17.82
2016 W02,Cleanbot2,16.99
2016 W03,Cleanbot2,15.68
2016 W04,Cleanbot2,13.65
2016 W05,Cleanbot2,16.89
2016 W06,Cleanbot2,17.42
2016 W07,Cleanbot2,16.6
2016 W08,Cleanbot2,19.92
2016 W09,Cleanbot2,14.17
2016 W10,Cleanbot2,13.08
2016 W11,Cleanbot2,14.32
2016 W12,Cleanbot2,14.26
2016 W13,Cleanbot2,13.08
2016 W14,Cleanbot2,13.5
2016 W15,Cleanbot2,12.62
2016 W16,Cleanbot2,13.03
2016 W17,Cleanbot2,16.44
2016 W18,Cleanbot2,15.4
2016 W19,Cleanbot2,17.49
2016 W20,Cleanbot2,17.45
2016 W21,Cleanbot2,14.93
2016 W22,Cleanbot2,17.01
2016 W23,Cleanbot2,16.64
2016 W24,Cleanbot2,16.41
2016 W25,Cleanbot2,15.99
2016 W26,Cleanbot2,14.81
2016 W27,Cleanbot2,17.04
2016 W28,Cleanbot2,15.37
2016 W29,Cleanbot2,16.89
2016 W30,Cleanbot2,17.42
2016 W31,Cleanbot2,20.98
2016 W32,Cleanbot2,15.6
2016 W33,Cleanbot2,14.85
2016 W34,Cleanbot2,15.84
2016 W35,Cleanbot2,11.95
2016 W36,Cleanbot2,17.45
2016 W37,Cleanbot2,12.1
2016 W38,Cleanbot2,14.59
2016 W39,Cleanbot2,14.82
2016 W40,Cleanbot2,17.98
2016 W41,Cleanbot2,16.8
2016 W42,Cleanbot2,16
2016 W43,Cleanbot2,15.75
2016 W44,Cleanbot2,13.96
2016 W45,Cleanbot2,14.23
2016 W46,Cleanbot2,20.67
2016 W47,Cleanbot2,20.46
2016 W48,Cleanbot2,16.85
2016 W49,Cleanbot2,15.85
2016 W50,Cleanbot2,17.95
2016 W51,Cleanbot2,18.49
2016 W52,Cleanbot2,21.41
2017 W01,Cleanbot2,16.06
2017 W02,Cleanbot2,15.96
2017 W03,Cleanbot2,19.07
2017 W04,Cleanbot2,19.42
2017 W05,Cleanbot2,16.44
2017 W06,Cleanbot2,16.8
2017 W07,Cleanbot2,21.44
2017 W08,Cleanbot2,20.86
2017 W09,Cleanbot2,23.26
2017 W10,Cleanbot2,17.81
2017 W11,Cleanbot2,15.04
2017 W12,Cleanbot2,16.14
2017 W13,Cleanbot2,16.14
2017 W14,Cleanbot2,13.64
2017 W15,Cleanbot2,13.18
2017 W16,Cleanbot2,15.18
2017 W17,Cleanbot2,17.35
2017 W18,Cleanbot2,13.43
2017 W19,Cleanbot2,11.13
2017 W20,Cleanbot2,14.53
2017 W21,Cleanbot2,14.81
2017 W22,Cleanbot2,17.89
2017 W23,Cleanbot2,14.11
2017 W24,Cleanbot2,14.42
2017 W25,Cleanbot2,17.5
2017 W26,Cleanbot2,17.29
2017 W27,Cleanbot2,20.86
2017 W28,Cleanbot2,19.19
2017 W29,Cleanbot2,22.22
2017 W30,Cleanbot2,20.96
2017 W31,Cleanbot2,16.33
2017 W32,Cleanbot2,18.98
2017 W33,Cleanbot2,20.92
2017 W34,Cleanbot2,22.98
2017 W35,Cleanbot2,20.35
2017 W36,Cleanbot2,24.47
2017 W37,Cleanbot2,17.34
2017 W38,Cleanbot2,26.02
